Log ID;Ürün ID;Ýþlem Tipi;Miktar;Açýklama;Ýþlemi Yapan;Kullanýcý Rolü;Deðiþim Detaylarý;Tarih/Saat
78;0;FÝRMA GÜNCELLEME;0;Firma ID: 8 | Eski Adý: 'Cool Aksesuar Lojistik' -> Yeni Adý: 'Cool Aksesuar Lojistik';Nur;ADMIN;null;2026-07-25 18:10:36.887
77;0;FÝRMA GÜNCELLEME;0;Ýþlemi Yapan: Nur (ADMIN) | Firma ID: 9 | Eski Adý: 'Gofirik Fýstýk Lojistik' -> Yeni Adý: 'Gofirikli Fýstýk Lojistik';null;null;null;2026-07-25 17:59:22.1
73;0;FÝRMA GÜNCELLEME;0;Ýþlemi Yapan: [Nur] | Firma ID: 10 | Eski Adý: 'LEGO A.Þ.' -> Yeni Adý: 'LEGO A.Þ.';null;null;null;2026-07-25 17:40:31.583
72;0;FÝRMA GÜNCELLEME;0;Firma ID: 8 | Eski Adý: 'Cool Aksesuar Lojistik' -> Yeni Adý: 'Cool Aksesuar Lojistik';null;null;null;2026-07-25 17:33:58.833
71;0;FÝRMA GÜNCELLEME;0;Firma ID: 10 | Eski Adý: 'LEGO A.Þ.' -> Yeni Adý: 'LEGO A.Þ.';null;null;null;2026-07-25 17:19:43.437
69;5;STOCK OUT;-6;Stok Hareketi;Nur;ADMIN;Mevcut Stok Deðiþimi;2026-07-25 17:14:54.06
68;5;GÜNCELLEME;-6;Ürün bilgileri güncellendi: Yeþil Gözlük;Nur;ADMIN;Ýsim: [Yeþil Gözlük -> Yeþil Gözlük] | Miktar: [166 -> 160] | Fiyat: [850,00 -> 850,00] | Konum: [Raf-G6 -> Raf-G6];2026-07-25 17:14:54.003
67;9;STOCK OUT;-63;Stok Hareketi;Nur;ADMIN;Mevcut Stok Deðiþimi;2026-07-25 16:57:21.59
66;9;GÜNCELLEME;-63;Ürün bilgileri güncellendi: Lego - 1;Nur;ADMIN;Ýsim: [Lego - 1 -> Lego - 1] | Miktar: [372 -> 309] | Fiyat: [1230,50 -> 1230,50] | Konum: [Raf-K9 -> Raf-K9];2026-07-25 16:57:21.543
65;3;GÜNCELLEME;0;Ürün bilgileri güncellendi: Deneme ürünü;Nur;ADMIN;Ýsim: [Deneme1 -> Deneme ürünü] | Miktar: [72 -> 72] | Fiyat: [20,00 -> 20,00] | Konum: [Raf-A1 -> Raf-A1];2026-07-24 14:11:29.103
64;3;STOCK IN;22;Stok Hareketi;Zeynep;SUPPLIER;Mevcut Stok Deðiþimi;2026-07-21 17:54:39.49
63;3;GÜNCELLEME;22;Ürün bilgileri güncellendi: Deneme1;Zeynep;SUPPLIER;Ýsim: [Deneme1 -> Deneme1] | Miktar: [50 -> 72] | Fiyat: [20,00 -> 20,00] | Konum: [Raf-A1 -> Raf-A1];2026-07-21 17:54:39.417
62;7;STOCK IN;25;Stok Hareketi;Zeynep;SUPPLIER;Mevcut Stok Deðiþimi;2026-07-21 15:56:38.653
61;7;GÜNCELLEME;25;Ürün bilgileri güncellendi: Tuz;Zeynep;SUPPLIER;Ýsim: [Tuz -> Tuz] | Miktar: [232 -> 257] | Fiyat: [32,50 -> 32,50] | Konum: [Raf-C37 -> Raf-C37];2026-07-21 15:56:38.607
60;9;GÜNCELLEME;22;Ürün bilgileri güncellendi: Lego - 1;Zeynep;SUPPLIER;Ýsim: [Lego - 1 -> Lego - 1] | Miktar: [350 -> 372] | Fiyat: [1230,50 -> 1230,50] | Konum: [Raf-K9 -> Raf-K9];2026-07-21 15:34:07.207
59;5;GÜNCELLEME;66;Ürün bilgileri güncellendi: Yeþil Gözlük;Zeynep;SUPPLIER;Ýsim: [Yeþil Gözlük -> Yeþil Gözlük] | Miktar: [100 -> 166] | Fiyat: [850,00 -> 850,00] | Konum: [Raf-G6 -> Raf-G6];2026-07-21 15:18:41.12
58;4;GÜNCELLEME;32;Ürün bilgileri güncellendi: Ram;Zeynep;SUPPLIER;Ýsim: [Ram -> Ram] | Miktar: [270 -> 302] | Fiyat: [12500,00 -> 12500,00] | Konum: [Raf-G9 -> Raf-G9];2026-07-21 15:18:16.893
57;7;GÜNCELLEME;32;Ürün bilgileri güncellendi: Tuz;Zeynep;SUPPLIER;Ýsim: [Tuz -> Tuz] | Miktar: [200 -> 232] | Fiyat: [32,50 -> 32,50] | Konum: [Raf-C37 -> Raf-C37];2026-07-21 14:58:42.69
56;8;GÜNCELLEME;-100;Ürün bilgileri güncellendi: Gofret;Ayþe;STAFF;Ýsim: [Gofret -> Gofret] | Miktar: [700 -> 600] | Fiyat: [92,50 -> 92,50] | Konum: [Raf-B3 -> Raf-B3];2026-07-21 13:09:04.887
55;8;GÜNCELLEME;-30;Ürün bilgileri güncellendi: Gofret;Nur;ADMIN;Ýsim: [Gofret -> Gofret] | Miktar: [730 -> 700] | Fiyat: [92,50 -> 92,50] | Konum: [Raf-B3 -> Raf-B3];2026-07-18 21:52:31.183
54;4;GÜNCELLEME;-9;Ürün bilgileri güncellendi: Ram;Nur;ADMIN;Ýsim: [Ram -> Ram] | Miktar: [279 -> 270] | Fiyat: [12500,00 -> 12500,00] | Konum: [Raf-G9 -> Raf-G9];2026-07-18 15:08:55.677
53;9;GÜNCELLEME;75;Ürün bilgileri güncellendi: Lego - 1;Nur;ADMIN;Ýsim: [Lego - 1 -> Lego - 1] | Miktar: [275 -> 350] | Fiyat: [1230,50 -> 1230,50] | Konum: [Raf-K9 -> Raf-K9];2026-07-17 20:06:07.967
